project_name,id,lon,lat,laccPriority,Population,-- URBAN WATER SOURCES --,Groundwater (%),Surface Water (%),Desalination/Other (%),-- WATER QUANTITY RISK --,Annual Water Stress Category,Annual Water Stress Index,Seasonal Water Stress Category,Seasonal Water Stress Index,-- WATER QUALITY RISK --,Annual Phosphorous Yield Category,Annual Phosphorous Yield (kg/km^2),Annual Sediment Yield Category,Annual Sediment Yield (tons/km^2),-- WATER QUALITY OPPORTUNITY --,Return on Investment Category,Return on Investment,Forest Protection: Phosphorous Category,Forest Protection: Phosphorous,Forest Protection: Sediment Category,Forest Protection: Sediment,Reforestation: Phosphorous Category,Reforesation: Phosphorous,Reforestation: Sediment Category,Reforestation: Sediment,Riparian Reforestation: Phosphorous Category,Riparian Reforestation: Phosphorous,Riparian Reforestation: Sediment Category,Riparian Reforestation: Sediment,-- FLOOD MITIGATION --,Riverine Flood Mitigation City Ranking Category,Riverine Flood Mitigation City Ranking,Urban Population Exposed to Riverine Flooding,Biophysical Opportunity to Mitigate Riverine Flooding,Stormwater Flood Mitigation City Ranking
-- Select Project --,A_select_kludge,-37.0533981,-10.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aracaju,city01,-37.0533981,-10.92,No,828768,0,25,75,0,0,Stressed,0.409,Not Stressed,0.016813875,0,High,1.97,High,254,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,6.5,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,,,,,
Asunción,city02,-57.6338997,-25.29,No,2417403,0,0,100,0,0,Not Stressed,0.001,Not Stressed,0.002462185,0,Low,0,Medium,26,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low to None,68,4378,2.22,44
Barcelona,city03,-64.680603,10.14,No,272690,0,0,100,0,0,Not Stressed,0.082,Stressed,1,0,High,0.63,High,1065,0,High,44.531,Medium Potential,79.4,Medium Potential,61,High Potential,0.2,Insufficient Scope,,High Potential,2.355316186,High Potential,0.2,0,Medium,35,235906,2.39,47
Barquisimeto,city04,-69.4063034,10.07,Priority,1365458,0,25,75,0,0,Not Stressed,0.194,Stressed,1,0,High,23.26,High,2355,0,High,2.802,Insufficient Scope,144.5,Low Potential,231.1,High Potential,2.3,Insufficient Scope,,High Potential,2.545281299,Insufficient Scope,0.1,0,High,25,23738,2.53,28
Barranquilla,city05,-74.7919998,10.99,No,2045207,0,0,100,0,0,Not Stressed,0.003,Not Stressed,0.00628393,0,Low,0,High,339,0,Low,0.003,Low Potential,"74,074.5",Low Potential,"41,913.1",Low Potential,"2,472.6",Insufficient Scope,,Insufficient Scope,,Low Potential,"3,766.6",0,Low ,47,437547,2.33,55
Belém,city06,-48.3843002,-1.39,No,2199552,0,25,75,0,0,Not Stressed,0.01,Not Stressed,0.046163366,0,High,5.01,Low,20,0,High,20.821,Insufficient Scope,"4,683.5",Insufficient Scope,"2,472.8",Insufficient Scope,,High Potential,0.357897163,Low Potential,121.1715262,Low Potential,105.8,0,Low to None,59,381572,2.21,29
Belo Horizonte,city07,-43.9399986,-19.93,Priority,5818829,0,0,100,0,0,Not Stressed,0.14,Stressed,1,0,High,2.98,High,756,0,Medium,0.248,Insufficient Scope,,Insufficient Scope,,Medium Potential,38.8,Medium Potential,67.07737501,Insufficient Scope,,Insufficient Scope,18.1,0,Medium,36,91887,2.39,11
Bogotá,city08,-74.0777969,4.62,Priority,9649723,0,0,100,0,0,Not Stressed,0.015,Stressed,1,0,High,3.38,High,299,0,High,8.292,Medium Potential,34.8,Medium Potential,12.7,High Potential,1.3,Insufficient Scope,,Insufficient Scope,11.82988037,Insufficient Scope,0.4,0,Low to None,65,26902,2.18,15
Brasília,city09,-47.911499,-15.79,Priority,4248641,0,0,100,0,0,Not Stressed,0.061,Stressed,1,0,High,2.05,High,418,0,Medium,0.864,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Medium Potential,18.9,0,Low to None,67,5372,2.22,6
Bucaramanga,city10,-73.1183014,7.09,Priority,1231948,0,0,100,0,0,Not Stressed,0.002,Stressed,1,0,High,1.27,High,887,0,High,100.096,Insufficient Scope,,Low Potential,129.9,High Potential,0.6,Insufficient Scope,,High Potential,2.04347118,High Potential,0.1,0,Very High,10,12847,3.28,41
Buenos Aires,city11,-58.3917999,-34.59,No,14150653,0,4,96,0,0,Not Stressed,0.334,Not Stressed,0.002946618,0,Low,0.01,Medium,138,0,Low,0.009,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Low Potential,"7,911.557431",Low Potential,"1,795.3",0,Low ,43,1670263,2.3,52
Cali,city12,-76.5230026,3.45,No,2665415,0,0,100,0,0,Not Stressed,0.03,Not Stressed,0.157714329,0,High,0.85,High,7158,0,Low,0.083,Insufficient Scope,,Insufficient Scope,,Low Potential,340.2,Insufficient Scope,,Low Potential,481.8497993,Low Potential,195.7,0,High,22,156112,2.59,9
Campinas,city13,-47.0536003,-22.91,Priority,3054344,0,0,100,0,0,Not Stressed,0.192,Stressed,1,0,High,0.23,High,722,0,Medium,0.504,Insufficient Scope,,Insufficient Scope,86.9,Medium Potential,12.9,Insufficient Scope,,Insufficient Scope,,Medium Potential,91.8,0,Low to None,60,135295,2.22,2
Caracas,city14,-66.9083023,10.5,Priority,3518023,0,0,100,0,0,Not Stressed,0.259,Stressed,1,0,High,5.74,High,1210,0,Medium,0.4,Insufficient Scope,44.3,Insufficient Scope,16.2,Medium Potential,25.4,Insufficient Scope,0.245791014,Insufficient Scope,,Insufficient Scope,,0,High,15,1439064,2.61,66
Cartagena,city15,-75.4287033,10.35,No,1092338,0,0,100,0,0,Not Stressed,0.356,Stressed,1,0,High,0.54,Medium,177,0,Insufficient Scope,0,Insufficient Scope,"51,097.8",Insufficient Scope,"34,615.5",Insufficient Scope,"1,118.7",Insufficient Scope,,Insufficient Scope,"14,340.74491",Insufficient Scope,"3,110.4",0,Very High,5,613920,3.2,60
Concepción,city16,-73.0501022,-36.82,No,823065,0,47,53,0,0,Not Stressed,0.048,Stressed,0.757067083,0,Medium,0.03,High,1710,0,Low,0.015,Low Potential,786.8,Low Potential,"1,001.8",Low Potential,"1,889.3",Insufficient Scope,,Low Potential,726.128517,Insufficient Scope,,0,Medium,32,681774,2.38,51
Córdoba,city17,-64.183333,-31.42,No,1654039,0,0,100,0,0,Not Stressed,0.235,Stressed,1,0,Medium,0.21,High,961,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low to None,61,116764,2.21,37
Cúcuta,city18,-72.5351028,7.89,No,861690,0,0,100,0,0,Not Stressed,0.027,Stressed,0.960862898,0,Medium,0.09,High,2034,0,High,12.287,Low Potential,507.4,Low Potential,116.2,High Potential,0.5,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Very High,12,520,3.02,46
Curitiba,city19,-49.2645988,-25.46,Priority,3467587,0,0,100,0,0,Not Stressed,0.035,Stressed,1,0,High,3.67,High,325,0,High,51.815,Medium Potential,42.9,High Potential,3.1,High Potential,0.2,High Potential,0.621954352,Insufficient Scope,3.376146411,Insufficient Scope,,0,Low ,49,271083,2.22,4
Florianópolis,city20,-48.5931015,-27.59,No,1172257,0,0,100,0,0,Not Stressed,0.067,Not Stressed,0.330563878,0,High,0.33,High,1749,0,High,1.142,Low Potential,121.8,Low Potential,207.3,High Potential,5.8,High Potential,4.572109176,Insufficient Scope,,Insufficient Scope,,0,Very High,8,218496,3.45,30
Fortaleza,city21,-38.5265007,-3.73,No,3878369,0,0,100,0,0,Stressed,1,Stressed,1,0,High,6.08,High,597,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Medium,31,1190749,2.4,31
Goiânia,city22,-49.2874985,-16.71,Priority,2281808,0,25,75,0,0,Not Stressed,0.067,Stressed,1,0,High,0.29,High,550,0,Medium,0.219,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Low Potential,139.0830217,Medium Potential,64.3,0,Low ,53,21027,2.22,5
Grande Vitória,city23,-40.2980003,-20.3,Priority,1816111,0,0,100,0,0,Stressed,0.462,Stressed,1,0,Medium,0.14,High,533,0,Medium,0.254,Low Potential,570,Low Potential,414.3,Insufficient Scope,,Insufficient Scope,,Medium Potential,51.41516814,Insufficient Scope,,0,Very High,6,383424,2.82,8
Guadalajara,city24,-103.3499985,20.68,No,4868678,0,32,68,0,0,Not Stressed,0.105,Stressed,1,0,High,0.47,Medium,113,0,Low,0.017,Insufficient Scope,,Low Potential,456.3,Low Potential,"1,570",Low Potential,955.1831606,Insufficient Scope,,Insufficient Scope,,0,Medium,41,103,2.52,40
Guatemala City,city25,-90.5926971,14.59,Priority,1362206,0,50,50,0,0,Not Stressed,0.035,Stressed,1,0,High,2.1,High,1107,0,High,1.682,Low Potential,201.1,Medium Potential,26.2,High Potential,2.5,Medium Potential,32.34953118,Insufficient Scope,,Insufficient Scope,2.8,0,Low ,48,339091,2.36,54
Guayana City,city26,-62.5782013,8.3,No,610514,0,0,100,0,0,Not Stressed,0.001,Not Stressed,0.002394495,0,Low,0,Medium,57,0,Medium,0.937,Insufficient Scope,,Low Potential,"3,628.8",High Potential,5.8,Low Potential,664.5610182,Insufficient Scope,,Insufficient Scope,,0,Low ,51,233304,2.37,42
Guayaquil,city27,-79.9061966,-2.2,No,2375062,0,0,100,0,0,Not Stressed,0.127,Stressed,1,0,Medium,0.06,High,330,0,Medium,0.105,Insufficient Scope,,Insufficient Scope,,Low Potential,439.2,Insufficient Scope,,Low Potential,885.3655635,Low Potential,147.4,0,Medium,30,1424401,2.45,14
Havana,city28,-82.3797989,23.13,Priority,2071462,0,25,75,0,0,Stressed,1,Stressed,1,0,High,6.79,High,1598,0,Medium,0.686,Insufficient Scope,,Insufficient Scope,2.1,High Potential,1.8,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,High,18,849122,2.71,45
João Pessoa,city29,-34.9734001,-7.12,Priority,1204214,0,25,75,0,0,Not Stressed,0.243,Stressed,1,0,High,16.54,Medium,87,0,Medium,0.946,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Medium Potential,12.38505442,Insufficient Scope,0.2,0,High,23,77515,2.8,32
Juárez,city30,-106.4660034,31.66,No,1381701,0,100,0,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,,Not Applicable,,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low to None,57,416362,2.12,13
La Paz,city31,-68.1517029,-16.51,No,1887079,0,0,100,0,0,Not Stressed,0.011,Stressed,1,0,High,3.26,High,6158,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,High,26,4764,2.75,48
León,city32,-101.677002,21.13,No,1813209,0,100,0,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,0,Not Applicable,,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Medium,39,2041,2.48,27
Lima,city33,-77.0610962,-12.08,No,9843168,0,12,88,0,0,Stressed,0.914,Stressed,1,0,Medium,0.12,High,1151,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low to None,56,551378,2.22,63
Maceió,city34,-35.8404999,-9.54,Priority,1268292,0,0,100,0,0,Not Stressed,0.05,Stressed,1,0,High,636.5,High,618,0,High,5.252,Insufficient Scope,,Insufficient Scope,0.8,Insufficient Scope,,Insufficient Scope,,Medium Potential,12.85144254,High Potential,2.3,0,High,19,338595,2.64,20
Managua,city35,-86.2587967,12.15,No,1058344,0,20,80,0,0,Stressed,0.405,Stressed,1,0,Medium,0.1,High,692,0,Low,0.017,Insufficient Scope,,Insufficient Scope,,Low Potential,228.4,Insufficient Scope,,Low Potential,593.7739893,Insufficient Scope,,0,,,,,
Manaus,city36,-59.9688988,-3.07,No,2043390,0,2,98,0,0,Not Stressed,0,Not Stressed,0.000421941,0,Low,0,Low,13,0,Low,0.001,Insufficient Scope,,Low Potential,"4,303.4",Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low ,46,518999,2.37,1
Maracaibo,city37,-71.759697,10.68,Priority,2522082,0,0,100,0,0,Stressed,0.493,Stressed,1,0,High,0.33,High,677,0,Medium,0.36,Medium Potential,91.8,Medium Potential,20.4,Insufficient Scope,0.1,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Very High,7,323748,2.96,39
Maracay,city38,-67.5948029,10.24,No,1221942,0,38,62,0,0,Not Stressed,0.043,Stressed,1,0,High,0.53,High,689,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,69.6,Insufficient Scope,7.1,Insufficient Scope,23.49417149,Insufficient Scope,,Insufficient Scope,,0,High,24,35743,2.71,65
Medellín,city39,-75.5746994,6.25,Priority,4076215,0,25,75,0,0,Not Stressed,0.022,Stressed,1,0,High,0.43,High,1017,0,High,2.702,Low Potential,329.7,Low Potential,134.2,High Potential,6.3,Insufficient Scope,,Medium Potential,24.3825152,High Potential,6.2,0,Low ,54,12905,2.27,58
Mendoza,city40,-68.8410034,-32.89,No,1020982,0,50,50,0,0,Stressed,1,Stressed,1,0,Low,0,High,1880,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,,,,,
Mérida,city41,-89.5708008,21,No,1123376,0,100,0,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,,Not Applicable,,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Very High,11,7488,3.45,57
Mexico City,city42,-99.1312027,19.42,No,21705580,0,81,19,0,0,Not Applicable,0.109,Not Applicable,1,0,Not Applicable,0.95,Not Applicable,731,0,Insufficient Scope,0,Insufficient Scope,325.9,Insufficient Scope,20.9,Insufficient Scope,19.9,Insufficient Scope,33.52898487,Insufficient Scope,,Insufficient Scope,,0,Medium,29,2107270,2.47,12
Monterrey,city43,-100.3069992,25.7,Priority,4654829,0,50,50,0,0,Stressed,0.41,Stressed,1,0,Medium,0.15,High,665,0,Medium,0.255,Insufficient Scope,,Medium Potential,53,Medium Potential,23.8,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,High,20,272135,2.6,33
Montevideo,city44,-56.167099,-34.87,No,1730656,0,0,100,0,0,Not Stressed,0.027,Not Stressed,0.256992684,0,Medium,0.08,Medium,183,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Medium,33,368203,2.39,67
Natal,city45,-35.2533989,-5.89,No,1453978,0,33,67,0,0,Not Stressed,0.286,Stressed,1,0,High,4.87,Medium,29,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low to None,63,99839,2.22,21
Panama City,city46,-79.5367966,8.96,No,1584657,0,0,100,0,0,Not Stressed,0.04,Not Stressed,0.277670664,0,Low,0.01,High,859,0,Medium,0.155,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Medium Potential,12.39248555,Insufficient Scope,,0,High,17,956631,2.71,19
Porto Alegre,city47,-51.2216988,-30.03,No,4113009,0,0,100,0,0,Stressed,0.473,Stressed,1,0,High,9,High,2857,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,"4,707.451655",Insufficient Scope,,0,Low ,44,1196336,2.31,22
Puebla de Zaragoza,city48,-98.2895966,19.15,No,2503377,0,100,0,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,0,Not Applicable,,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low to None,62,111253,2.2,17
Querétaro,city49,-100.4229965,20.65,No,1306139,0,33,33,33,0,Not Applicable,1,Not Applicable,1,0,Not Applicable,0.12,Not Applicable,90,0,Low,0.009,Insufficient Scope,,Low Potential,445.6,Insufficient Scope,,Low Potential,509.7628921,Insufficient Scope,,Insufficient Scope,,0,Medium,40,269,2.41,18
Quito,city50,-78.4973984,-0.2,Priority,1738937,0,3,98,0,0,Not Stressed,0.017,Stressed,1,0,High,2.19,High,1756,0,High,2.002,Insufficient Scope,,Insufficient Scope,6.3,Insufficient Scope,29.8,Insufficient Scope,,Insufficient Scope,10.23174184,High Potential,7,0,Very High,13,389,3.32,25
Recife,city51,-34.8897018,-8.06,Priority,3939253,0,0,100,0,0,Stressed,0.557,Stressed,1,0,High,9.4,High,978,0,High,2.655,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,631.2,Insufficient Scope,,Medium Potential,44.50812708,High Potential,6.6,0,High,16,1153131,2.57,10
Rio de Janeiro,city52,-43.1941986,-22.91,Priority,12380355,0,0,100,0,0,Stressed,0.999,Stressed,1,0,Medium,0.13,High,1358,0,Medium,0.46,Insufficient Scope,474.9,Insufficient Scope,3,Medium Potential,28,Insufficient Scope,2.683156356,Insufficient Scope,"1,179.697534",Insufficient Scope,167.8,0,Medium,28,4129906,2.48,34
Rosario,city53,-60.6837006,-32.99,No,1365084,0,14,86,0,0,Not Stressed,0.001,Not Stressed,0.002647631,0,Low,0.01,High,261,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low ,45,807022,2.22,64
Salvador,city54,-38.5112991,-12.98,Priority,4506290,0,0,100,0,0,Stressed,0.781,Stressed,1,0,High,0.23,Medium,75,0,High,3.133,High Potential,7.8,Insufficient Scope,2.6,Low Potential,794.4,High Potential,2.764730677,Insufficient Scope,1.227859363,Insufficient Scope,0.6,0,High,14,1443046,2.64,23
San José,city55,-84.0768967,9.93,Priority,1704468,0,25,75,0,0,Not Stressed,0.086,Stressed,0.955491359,0,High,1.18,High,14185,0,Medium,0.487,Medium Potential,73.4,Medium Potential,22.7,High Potential,7.8,Insufficient Scope,,Medium Potential,24.38131967,Medium Potential,11.7,0,Medium,38,14080,2.37,56
San Juan,city56,-66.0585022,18.41,No,2475123,0,0,100,0,0,Stressed,0.403,Stressed,1,0,High,0.77,High,2772,0,Low,0.086,Low Potential,191.7,Medium Potential,62.8,Insufficient Scope,,Insufficient Scope,,Medium Potential,29.83211121,Insufficient Scope,,0,Very High,1,2443023,2.94,43
San Luis Potosí,city57,-100.8710022,22.14,No,1143767,0,98,2,0,0,Not Applicable,0.268,Not Applicable,1,0,Not Applicable,27.62,Not Applicable,415,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,9.2,Insufficient Scope,0.8,Insufficient Scope,6.151138707,Insufficient Scope,,Insufficient Scope,,0,High,27,16,2.57,38
San Salvador,city58,-89.2166977,13.75,No,1739642,0,50,50,0,0,Not Stressed,0.054,Stressed,0.888970142,0,High,0.31,High,402,0,Low,0.046,Low Potential,"1,183.7",Low Potential,151.9,Low Potential,402.8,Low Potential,232.5530897,Low Potential,156.9011974,Medium Potential,53.4,0,Low ,52,116082,2.36,61
Santa Cruz,city59,-63.1570015,-17.79,No,1965373,0,100,0,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,,Not Applicable,,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Medium,37,15657,2.4,62
Santiago,city60,-70.653801,-33.45,Priority,6354952,0,15,85,0,0,Stressed,1,Stressed,1,0,High,4.05,High,25382,0,Medium,0.268,Insufficient Scope,,Insufficient Scope,,Medium Potential,38.9,Insufficient Scope,6.332074122,Insufficient Scope,,Insufficient Scope,,0,Low to None,64,88079,2.22,35
Santo Domingo,city61,-69.911499,18.48,No,2358764,0,32,68,0,0,Stressed,0.593,Stressed,1,0,High,0.9,High,2731,0,Low,0.08,Low Potential,149.2,Medium Potential,53.2,Insufficient Scope,,Insufficient Scope,,Medium Potential,32.00975509,Insufficient Scope,,0,Very High,2,1629788,2.97,36
Santos,city62,-46.3348999,-23.95,Priority,1768318,0,0,100,0,0,Not Stressed,0.163,Stressed,1,0,Low,0,High,3806,0,High,5.984,Insufficient Scope,,Insufficient Scope,,High Potential,1.2,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low to None,66,5771,2.21,16
São Luís,city63,-44.2317009,-2.58,No,1436909,0,22,78,0,0,Not Stressed,0.142,Stressed,0.646899312,0,Medium,0.09,Medium,34,0,Insufficient Scope,0,Insufficient Scope,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Medium,34,280603,2.44,7
São Paulo,city64,-46.6436996,-23.58,Priority,21028372,0,0,100,0,0,Not Stressed,0.254,Stressed,1,0,Medium,0.14,High,1535,0,High,3.016,Insufficient Scope,,Medium Potential,33.6,High Potential,4.3,Insufficient Scope,5.829750274,Insufficient Scope,202.8427034,Medium Potential,14.8,0,Low ,42,6738124,2.22,3
Tegucigalpa,city65,-87.2011032,14.1,No,1256531,0,1,99,0,0,Not Stressed,0.069,Stressed,1,0,High,2.71,High,1773,0,Medium,0.122,Insufficient Scope,114.6,Medium Potential,23,Medium Potential,15.5,Insufficient Scope,,Medium Potential,15.20985353,Insufficient Scope,4,0,Low ,55,1454,2.37,49
Teresina,city66,-42.8154984,-5.09,No,968065,0,0,100,0,0,Not Stressed,0.005,Not Stressed,0.020334123,0,Low,0,Low,16,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,,,,,
Tijuana,city67,-117.0279999,32.41,Priority,2061496,0,5,95,0,0,Stressed,0.548,Stressed,1,0,High,0.73,Medium,97,0,High,1.012,Medium Potential,18.3,Medium Potential,22.3,High Potential,9.7,High Potential,3.789057388,Insufficient Scope,,Insufficient Scope,,0,Very High,4,647869,2.84,50
Toluca,city68,-99.597702,19.3,No,1928525,0,13,88,0,0,Not Stressed,0.109,Stressed,1,0,High,0.95,High,731,0,Medium,0.179,Low Potential,325.9,Medium Potential,20.9,Medium Potential,19.9,Medium Potential,33.52898487,Insufficient Scope,,Insufficient Scope,,0,Very High,9,76384,2.83,26
Torreón,city69,-103.3939972,25.63,No,1344439,0,100,0,0,0,Not Applicable,,Not Applicable,,0,Not Applicable,,Not Applicable,,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,High,21,161595,2.61,68
Valencia,city70,-67.995697,10.16,No,2040623,0,13,87,0,0,Not Stressed,0.015,Stressed,1,0,High,2.56,High,896,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,Insufficient Scope,,0,Low ,50,250919,2.36,53
Valparaíso,city71,-71.6200027,-33.05,No,930616,0,98,2,0,0,Not Applicable,0.895,Not Applicable,1,0,Not Applicable,3.07,Not Applicable,1558,0,Insufficient Scope,0,Insufficient Scope,,Insufficient Scope,17.1,Insufficient Scope,10.5,Insufficient Scope,7.925408454,Insufficient Scope,,Insufficient Scope,,0,Low to None,58,404947,2.22,59