id,project_name,lon,lat
city1,Aracaju,-37.0533981,-10.9236002
city10,Bucaramanga,-73.1183014,7.0929799
city11,Buenos Aires,-58.3917999,-34.5909004
city12,Cali,-76.5230026,3.4484601
city13,Campinas,-47.0536003,-22.9113007
city14,Caracas,-66.9083023,10.5040998
city15,Cartagena,-75.4287033,10.3472004
city16,Concepción,-73.0501022,-36.8153
city17,Córdoba,-64.183333,-31.416667
city18,Cúcuta,-72.5351028,7.8895602
city19,Curitiba,-49.2645988,-25.4557991
city2,Asunción,-57.6338997,-25.2884998
city20,FlorianÃ³polis,-48.5931015,-27.5904007
city21,Fortaleza,-38.5265007,-3.7287199
city22,Goi?nia,-49.2874985,-16.7080002
city23,Grande VitÃ³ria,-40.2980003,-20.2980995
city24,Guadalajara,-103.3499985,20.6763
city25,Guatemala City,-90.5926971,14.5888996
city26,Guayana City,-62.5782013,8.3017397
city27,Guayaquil,-79.9061966,-2.2034099
city28,Havana,-82.3797989,23.1275997
city29,João Pessoa,-34.9734001,-7.12467
city3,Barcelona,-64.680603,10.1447001
city30,Juarez,-106.4660034,31.6555996
city31,La Paz,-68.1517029,-16.5056
city32,León,-101.677002,21.1252995
city33,Lima,-77.0610962,-12.0829
city34,Maceió,-35.8404999,-9.5445404
city35,Managua,-86.2587967,12.1485004
city36,Manaus,-59.9688988,-3.0691099
city37,Maracaibo,-71.759697,10.6766996
city38,Maracay,-67.5948029,10.2427998
city39,Medellín,-75.5746994,6.2476101
city4,Barquisimeto,-69.4063034,10.0712004
city40,Mendoza,-68.8410034,-32.8933983
city41,Merida,-89.5708008,20.9962006
city42,México City,-99.1312027,19.4150009
city43,Monterrey,-100.3069992,25.6963997
city44,Montevideo,-56.167099,-34.8690987
city45,Natal,-35.2533989,-5.8868899
city46,Panama,-79.5367966,8.9640398
city47,Pôrto Alegre,-51.2216988,-30.0321007
city48,Puebla de Zaragoza,-98.2895966,19.1544991
city49,Queretaro,-100.4229965,20.6462002
city5,Barranquilla,-74.7919998,10.9897003
city50,Quito,-78.4973984,-0.199823
city51,Recife,-34.8897018,-8.0563002
city52,Rio de Janeiro,-43.1941986,-22.9134007
city53,Rosario,-60.6837006,-32.9917984
city54,Salvador,-38.5112991,-12.9801998
city55,San José,-84.0768967,9.9286804
city56,San Juan,-66.0585022,18.4120007
city57,San Luis Potosí,-100.8710022,22.1420002
city58,San Salvador,-89.2166977,13.7461996
city59,Santa Cruz,-63.1570015,-17.7912006
city6,Belém,-48.3843002,-1.3913
city60,Santiago,-70.653801,-33.4504013
city61,Santo Domingo,-69.911499,18.4841003
city62,Santos,-46.3348999,-23.9549007
city63,São Luís,-44.2317009,-2.5761001
city64,São Paulo,-46.6436996,-23.5806007
city65,Tegucigalpa,-87.2011032,14.0997
city66,Teresina,-42.8154984,-5.0887299
city67,Tijuana,-117.0279999,32.4104996
city68,Toluca,-99.597702,19.2989998
city69,Torreon,-103.3939972,25.6348991
city7,Belo Horizonte,-43.9399986,-19.9255009
city70,Valencia,-67.995697,10.1590004
city71,Valparaíso,-71.6200027,-33.0466995
city8,Bogotá,-74.0777969,4.6170402
city9,Brasília,-47.911499,-15.7866001