id,project_name,lon,lat,laccPriority,-- SELECT A METRIC --,Population,-- URBAN WATER SOURCES --,Groundwater (%),Surface Water (%),Desalination/Other (%),-- WATER QUALITY RISK --,Annual Phosphorous Yield Category,Annual Phosphorous Yield (kg/km^2),Annual Sediment Yield Category,Annual Sediment Yield (tons/km^2),-- WATER QUALITY OPPORTUNITY --,Return on Investment Category,Return on Investment,Forest Protection: Phosphorous Category,Forest Protection (ha): Phosphorous,Forest Protection: Sediment Category,Forest Protection (ha): Sediment,Reforestation: Phosphorous Category,Reforestation (ha): Phosphorous,Reforestation: Sediment Category,Reforestation (ha): Sediment,Riparian Restoration: Phosphorous Category,Riparian Restoration (ha): Phosphorous,Riparian Restoration: Sediment Category,Riparian Restoration (ha): Sediment,-- FLOOD MITIGATION --,Riverine Flood Mitigation City Ranking Category,Riverine Flood Mitigation City Ranking,Urban Population Exposed to Riverine Flooding,Opportunity to Mitigate Riverine Flooding,Shape (unitless),Slope (degrees),Area (km2),Drainage Density (km/km2),Flood Discharge Sensitivity (unitless),Preserve Infiltration (unitless),Increase Infiltration (%),Preserve Riparian Buffer (%),Disconnect Effective Impervious Area (km2),Preserve Wetland Storage (%),Increase Wetland Storage (%),Stormwater Flood Mitigation City Ranking,Final Ranking,Relative storm intensity (# annual dry days/(kg/m2)/yr ),Soil Permeability (unitless),Percent Open Space (unitless),Distribution of Open Space (unitless),City Slope Score (unitless),default
A_select_kludge,-- Select City --,-37.0533981,-10.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,0,,,,,,,0
city01,Aracaju,-37.0533981,-10.92,No,0,828768,0,25,75,0,0,High,1.97,High,254,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,,,IS,,,,,,,,,,,,,IS,,,,,,,1
city02,Asunción,-57.6338997,-25.29,No,0,2417403,0,0,100,0,0,Low,0,Medium,26,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,very high,10,4378,3.263516127,1.385227496,1.5106616,3212.948835,0.125897077,0.023626853,84.2300568,0.94304436,,0,0.809225179,62.26923077,44,10.53,4.97,3.53,0,0.38,4,1
city03,Barcelona,-64.680603,10.14,No,0,272690,0,0,100,0,0,High,0.63,High,1065,0,High,44.531,Medium Potential,79.4,Medium Potential,61,High Potential,0.2,Unlikely Scope,IS,High Potential,2.36,High Potential,0.2,0,low ,48,235906,2.175508238,1.539206133,5.14670845,2665.016998,0.124555224,0.001244945,83.78377949,0.398212631,92.99819554,71.28444029,2.175716596,65.08397721,47,9.3,3.94,2.3,2,0.39,1,1
city04,Barquisimeto,-69.4063034,10.07,Priority,0,1365458,0,25,75,0,0,High,23.26,High,2355,0,High,2.802,Unlikely Scope,IS,Low Potential,231.1,High Potential,2.3,Unlikely Scope,IS,High Potential,2.55,Unlikely Scope,IS,0,low ,51,23738,2.227130748,1.673228305,5.058223073,2172.193529,0.192883704,0.266850659,68.02481563,0.425294501,93.56233454,373.3446007,0.809118195,10.61412678,28,12.1,5.16,2.1,3,0.45,3,1
city05,Barranquilla,-74.7919998,10.99,No,0,2045207,0,0,100,0,0,Low,0,High,339,0,Low,0.003,Low Potential,74074.5,Low Potential,41913.1,Low Potential,2472.6,Unlikely Scope,IS,Unlikely Scope,IS,Low Potential,3766.6,0,low ,45,437547,2.270355235,1.847187027,6.722959284,240872.4091,0.168256674,0.204581228,75.38534086,0.81366005,99.96648477,275.2210532,4.439757149,81.43858519,55,8.19,3.67,3.19,1,0.39,0,1
city06,Belém,-48.3843002,-1.39,No,0,2199552,0,25,75,0,0,High,5.01,Low,20,0,High,20.821,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,High Potential,0.36,Low Potential,121.17,Low Potential,105.8,0,low to none,61,381572,1.940428755,2.064852956,0.628435223,21884.29445,0.075718244,0.064361928,88.94752893,0.174419057,91.12941107,11.68289657,5.136143812,16.73658283,29,12.04,31.74,3.04,2,0.47,0,1
city07,Belo Horizonte,-43.9399986,-19.93,Priority,0,5818829,0,0,100,0,0,High,2.98,High,756,0,Medium,0.248,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,38.8,Medium Potential,67.08,Unlikely Scope,IS,Unlikely Scope,IS,0,low to none,65,91887,1.982896211,1.646317949,3.9635875,15015.78025,0.140669831,0.011154668,88.3397675,0.626434182,97.31970447,696.9203818,0.486487573,112.6488706,11,14.89,7.41,3.89,3,0.43,3,1
city08,Bogotá,-74.0777969,4.62,Priority,0,9649723,0,0,100,0,0,High,3.38,High,299,0,High,8.292,Medium Potential,34.8,Medium Potential,12.7,High Potential,1.3,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low to none,66,26902,2.097199999,1.758816489,6.0403061,4982.793101,0.160504339,0.001741665,76.5682449,0.559946752,99.97663927,22.4223616,0.290398984,161.5065653,15,14.06,11.92,3.06,2,0.57,1,1
city09,Brasília,-47.911499,-15.79,Priority,0,4248641,0,0,100,0,0,High,2.05,High,418,0,Medium,0.864,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,18.9,0,low to none,68,5372,1.882513335,1.910259057,2.226316,4565.32204,0.146016608,0.253193722,87.0472336,0.652528951,97.08722653,434.97841,0.049941624,86.84210526,6,15,9,3,4,0.45,3,1
city10,Bucaramanga,-73.1183014,7.09,Priority,0,1231948,0,0,100,0,0,High,1.27,High,887,0,High,100.096,Unlikely Scope,IS,Low Potential,129.9,High Potential,0.6,Unlikely Scope,IS,High Potential,2.04,High Potential,0.1,0,very high,8,12847,3.256103712,1.28235991,12.4072065,1754.998832,0.164835334,0,85.3597641,0.42095852,100,0,0.208547009,87.15846995,41,10.81,7.11,3.81,1,0.5,0,1
city11,Buenos Aires,-58.3917999,-34.59,No,0,14150653,0,4,96,0,0,Low,0.01,Medium,138,0,Low,0.009,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Low Potential,7911.56,Low Potential,1795.3,0,low ,42,1670263,2.224305379,1.756793888,0.232812413,3322.850952,0.108909842,0.319403801,85.83478759,1.093145275,87.99018322,655.02574,5.59336863,139.4330704,52,8.73,3.8,2.73,2,0.42,0,1
city12,Cali,-76.5230026,3.45,No,0,2665415,0,0,100,0,0,High,0.85,High,7158,0,Low,0.083,Unlikely Scope,IS,Unlikely Scope,IS,Low Potential,340.2,Unlikely Scope,IS,Low Potential,481.85,Low Potential,195.7,0,high,23,156112,2.469895729,1.533308137,8.2191858,12876.8128,0.19568838,0.007434458,70.3435135,1.385977259,99.9749134,51.43550579,0.938043628,108.2043215,9,14.92,9.23,2.92,2,0.59,3,1
city13,Campinas,-47.0536003,-22.91,Priority,0,3054344,0,0,100,0,0,High,0.23,High,722,0,Medium,0.504,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,12.9,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,91.8,0,low to none,63,135295,2.085926914,1.654553142,3.6249592,13454.9466,0.140798212,0.005584054,85.4960327,0.982086974,98.97756837,448.0333725,1.837532516,145.360783,2,18.82,9.54,3.82,4,0.53,4,1
city14,Caracas,-66.9083023,10.5,Priority,0,3518023,0,0,100,0,0,High,5.74,High,1210,0,Medium,0.4,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,25.4,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,Medium,29,1439064,2.381397448,1.509311556,9.679330545,3726.112251,0.154022932,0.122880267,73.91616265,0.17834407,97.68923038,254.3524446,12.64034969,9.870860542,66,6.27,4.61,2.27,1,0.37,0,1
city15,Cartagena,-75.4287033,10.35,No,0,1092338,0,0,100,0,0,High,0.54,Medium,177,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,very high,4,613920,3.223428104,1.658673632,1.058019393,276.5049192,0.086491456,0.003202537,88.66780618,0.614926806,100,0,18.18335485,43.47085767,60,7.41,4.64,3.41,1,0.37,0,1
city16,Concepción,-73.0501022,-36.82,No,0,823065,0,47,53,0,0,Medium,0.03,High,1710,0,Low,0.015,Low Potential,786.8,Low Potential,1001.8,Low Potential,1889.3,Unlikely Scope,IS,Low Potential,726.13,Unlikely Scope,IS,0,very high,3,681774,3.155445003,1.807608142,3.400719317,547.6684356,0.077106808,0.034518825,89.14807662,0.254786703,100,0,29.71041138,57.9193071,51,8.96,3.43,3.96,1,0.32,2,1
city17,Córdoba,-64.183333,-31.42,No,0,1654039,0,0,100,0,0,Medium,0.21,High,961,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,Medium,36,116764,2.375544578,1.429749266,2.9342787,6509.254565,0.147992251,0.040276337,79.6442184,1.380345268,98.20884552,423.2523554,1.036677018,314.1671606,37,11,2.66,2,2,0.42,4,1
city18,Cúcuta,-72.5351028,7.89,No,0,861690,0,0,100,0,0,Medium,0.09,High,2034,0,High,12.287,Low Potential,507.4,Low Potential,116.2,High Potential,0.5,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,very high,12,520,3.007991134,1.696138224,13.03521229,4566.898077,0.150087942,0.002290549,80.08070033,0.386450407,99.99981309,0.036666242,0.463985294,5.602737591,46,9.8,8.59,2.8,2,0.44,0,1
city19,Curitiba,-49.2645988,-25.46,Priority,0,3467587,0,0,100,0,0,High,3.67,High,325,0,High,51.815,Medium Potential,42.9,High Potential,3.1,High Potential,0.2,High Potential,0.62,Unlikely Scope,IS,Unlikely Scope,IS,0,low ,47,271083,2.20239725,1.356453762,1.5893564,3946.77276,0.147651762,0.002060867,87.7720032,0.421297779,93.51447429,1216.044459,5.471042176,28.25452693,4,17.59,12.61,3.59,3,0.52,4,1
city20,Florianópolis,-48.5931015,-27.59,No,0,1172257,0,0,100,0,0,High,0.33,High,1749,0,High,1.142,Low Potential,121.8,Low Potential,207.3,High Potential,5.8,High Potential,4.57,Unlikely Scope,IS,Unlikely Scope,IS,0,very high,6,218496,3.460357313,1.498093638,4.532826835,44.85068377,0.034210181,0.274636517,89.55843072,0.308502526,100,0,39.49923198,79.49561649,30,12,10.87,4,1,0.38,2,1
city21,Fortaleza,-38.5265007,-3.73,No,0,3878369,0,0,100,0,0,High,6.08,High,597,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low to none,58,1190749,2.045817364,1.704712544,1.789783889,600.4527403,0.118338521,0.007770197,91.2302748,0.376259865,89.93333104,131.0736542,5.227580035,112.4860607,31,12,6.78,4,2,0.48,0,1
city22,Goiânia,-49.2874985,-16.71,Priority,0,2281808,0,25,75,0,0,High,0.29,High,550,0,Medium,0.219,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Low Potential,139.08,Medium Potential,64.3,0,low ,52,21027,2.16216787,1.474921858,2.4911516,5347.890807,0.136382505,0.008325059,86.9412689,0.950246771,98.3976072,261.5314058,0.132201427,189.8161245,5,17,9.33,3,3,0.58,4,1
city23,Grande Vitória,-40.2980003,-20.3,Priority,0,1816111,0,0,100,0,0,Medium,0.14,High,533,0,Medium,0.254,Low Potential,570,Low Potential,414.3,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,51.42,Unlikely Scope,IS,0,high,20,383424,2.82555319,1.707731272,2.665039962,1127.852977,0.072997748,0.454662077,86.31687975,0.347457391,99.74034364,5.918898469,12.40133856,33.44167959,8,15,6.84,3,2,0.5,4,1
city24,Guadalajara,-103.3499985,20.68,No,0,4868678,0,32,68,0,0,High,0.47,Medium,113,0,Low,0.017,Unlikely Scope,IS,Low Potential,456.3,Low Potential,1570,Low Potential,955.18,Unlikely Scope,IS,Unlikely Scope,IS,0,Medium,40,103,2.298000518,2.066682368,3.354584289,65011.68932,0.159412674,0.078971359,66.70935849,0.744279582,99.65595115,1097.865683,7.936071682,47.07164886,40,10.84,3.39,1.84,3,0.46,2,1
city25,Guatemala City,-90.5926971,14.59,Priority,0,1362206,0,50,50,0,0,High,2.1,High,1107,0,High,1.682,Low Potential,201.1,Medium Potential,26.2,High Potential,2.5,Medium Potential,32.35,Unlikely Scope,IS,Unlikely Scope,IS,0,high,22,339091,2.607249565,1.487907571,7.313629418,654.2022643,0.152358604,0.075213452,57.44972995,0.225282089,87.3344562,205.3029738,12.16642472,3.293017948,54,8.45,16.17,1.45,1,0.38,1,1
city26,Guayana City,-62.5782013,8.3,No,0,610514,0,0,100,0,0,Low,0,Medium,57,0,Medium,0.937,Unlikely Scope,IS,Low Potential,3628.8,High Potential,5.8,Low Potential,664.56,Unlikely Scope,IS,Unlikely Scope,IS,0,Medium,35,233304,2.424558598,2.00680903,2.5256579,940354.6446,0.170726051,0.003961092,78.19478,2.868580562,99.96751375,123.2277786,7.247398671,43.27915731,42,14.27,4.22,2.27,3,0.52,4,1
city27,Guayaquil,-79.9061966,-2.2,No,0,2375062,0,0,100,0,0,Medium,0.06,High,330,0,Medium,0.105,Unlikely Scope,IS,Unlikely Scope,IS,Low Potential,439.2,Unlikely Scope,IS,Low Potential,885.37,Low Potential,147.4,0,Medium,30,1424401,2.341601504,1.84058134,1.943481415,5894.336637,0.171566507,0.036996425,74.00684018,1.353168165,99.94325813,29.9499178,11.8413262,38.56270775,14,10.65,5.31,1.65,1,0.44,4,1
city28,Havana,-82.3797989,23.13,No,0,2071462,0,25,75,0,0,High,6.79,High,1598,0,Medium,0.686,Unlikely Scope,IS,Unlikely Scope,IS,High Potential,1.8,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low ,43,849122,2.235866513,1.531031677,1.022432335,148.682757,0.10366044,0.200544363,83.94363705,0.818874399,63.8301684,63.94213482,2.66528107,211.7192721,45,10.13,5.59,2.13,2,0.48,0,1
city29,João Pessoa,-34.9734001,-7.12,Priority,0,1204214,0,25,75,0,0,High,16.54,Medium,87,0,Medium,0.946,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,12.39,Unlikely Scope,IS,0,high,25,77515,2.709635536,1.630784301,0.876049006,8481.376508,0.062338489,0.005676145,90.31836279,0.470286719,99.95185539,23.9763963,4.508410392,95.93424294,32,12,16.17,4,2,0.45,0,1
city30,Juárez,-106.4660034,31.66,No,0,1381701,0,100,0,0,0,Not Applicable,IS,Not Applicable,IS,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low to none,60,416362,1.961758411,1.895591488,1.4897513,6491.37049,0.173427929,0.021003767,75.7484207,0.068671003,99.43821208,275.5075976,3.594294043,80.58460483,13,14.39,0.65,1.39,4,0.59,4,1
city31,La Paz,-68.1517029,-16.51,No,0,1887079,0,0,100,0,0,High,3.26,High,6158,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,Medium,38,4764,2.451153765,1.381234829,10.73233234,831.5220403,0.154189377,0.230710773,71.42721731,0.945138819,74.93689962,593.5754558,1.191026602,190.6363823,48,9,2.22,1,3,0.64,0,1
city32,León,-101.677002,21.13,No,0,1813209,0,100,0,0,0,Not Applicable,IS,Not Applicable,IS,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,Medium,39,2041,2.300527673,1.682687425,3.4035625,2869.849094,0.194381311,0.015981094,66.8165512,0.843992529,98.90275375,245.5226177,0.039722917,94.73684211,27,12.29,2.4,1.29,3,0.55,3,1
city33,Lima,-77.0610962,-12.08,No,0,9843168,0,12,88,0,0,Medium,0.12,High,1151,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low ,44,551378,2.168164328,2.44801496,6.090657072,1102.33252,0.093798561,0.004309508,79.91055918,0.72994835,88.47278822,196.3062282,6.928643428,28.35422241,63,6.85,0.35,1.85,2,0.46,0,1
