id,project_name,lon,lat,laccPriority,-- SELECT A METRIC --,Population,-- URBAN WATER SOURCES --,Groundwater (%),Surface Water (%),Desalination/Other (%),-- WATER QUALITY RISK --,Annual Phosphorous Yield Category,Annual Phosphorous Yield (kg/km^2),Annual Sediment Yield Category,Annual Sediment Yield (tons/km^2),-- WATER QUALITY OPPORTUNITY --,Return on Investment Category,Return on Investment,Forest Protection: Phosphorous Category,Forest Protection (ha): Phosphorous,Forest Protection: Sediment Category,Forest Protection (ha): Sediment,Reforestation: Phosphorous Category,Reforestation (ha): Phosphorous,Reforestation: Sediment Category,Reforestation (ha): Sediment,Riparian Restoration: Phosphorous Category,Riparian Restoration (ha): Phosphorous,Riparian Restoration: Sediment Category,Riparian Restoration (ha): Sediment,-- FLOOD MITIGATION --,Riverine Flood Mitigation City Ranking Category,Riverine Flood Mitigation City Ranking,Urban Population Exposed to Riverine Flooding,Opportunity to Mitigate Riverine Flooding,Shape (unitless),Slope (degrees),Area (km2),Drainage Density (km/km2),Flood Discharge Sensitivity (unitless),Preserve Infiltration (unitless),Increase Infiltration (%),Preserve Riparian Buffer (%),Disconnect Effective Impervious Area (km2),Preserve Wetland Storage (%),Increase Wetland Storage (%),Stormwater Flood Mitigation City Ranking,Final Ranking,Relative storm intensity (# annual dry days/(kg/m2)/yr ),Soil Permeability (unitless),Percent Open Space (unitless),Distribution of Open Space (unitless),City Slope Score (unitless),default
city34,Maceió,-35.8404999,-9.54,Priority,0,1268292,0,0,100,0,0,High,636.5,High,618,0,High,5.252,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,12.85,High Potential,2.3,0,Medium,33,338595,2.409248235,1.932445162,1.415106462,1482.238367,0.073153711,0.036428672,86.31865132,1.071829744,79.20074371,16.33281831,11.0498636,133.4998113,20,13,16.2,3,1,0.37,4,1
city35,Managua,-86.2587967,12.15,No,0,1058344,0,20,80,0,0,Medium,0.1,High,692,0,Low,0.017,Unlikely Scope,IS,Unlikely Scope,IS,Low Potential,228.4,Unlikely Scope,IS,Low Potential,593.77,Unlikely Scope,IS,0,,,IS,,,,,,,,,,,,,IS,,,,,,,1
city36,Manaus,-59.9688988,-3.07,No,0,2043390,0,2,98,0,0,Low,0,Low,13,0,Low,0.001,Unlikely Scope,IS,Low Potential,4303.4,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,Medium,32,518999,2.394456429,2.53447726,1.2269769,749449.4209,0.164292619,0.036314486,75.5523,3.344074133,99.98325528,19.60050347,5.77893656,8.6255853,1,19.4,19.99,3.4,4,0.62,4,1
city37,Maracaibo,-71.759697,10.68,Priority,0,2522082,0,0,100,0,0,High,0.33,High,677,0,Medium,0.36,Medium Potential,91.8,Medium Potential,20.4,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,very high,5,323748,2.981046123,1.646054976,0.537641629,68.85315122,0.069200126,0.006685774,86.88927297,0.391107052,99.61333871,3.681265287,12.5851666,480.6941918,39,10.88,2.39,3.88,2,0.66,0,1
city38,Maracay,-67.5948029,10.24,No,0,1221942,0,38,62,0,0,High,0.53,High,689,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,high,27,35743,2.587993678,1.413251881,9.580645192,1001.827211,0.188758931,0.04028357,81.48896612,0.265917025,95.89085791,396.0672745,7.469924316,26.03368375,65,6.69,4.93,2.69,1,0.37,0,1
city39,Medellín,-75.5746994,6.25,Priority,0,4076215,0,25,75,0,0,High,0.43,High,1017,0,High,2.702,Low Potential,329.7,Low Potential,134.2,High Potential,6.3,Unlikely Scope,IS,Medium Potential,24.38,High Potential,6.2,0,low ,54,12905,2.187752117,1.9086345,7.0198817,3819.111972,0.153895542,0.00391023,65.7341995,0.774415911,99.91108065,125.5951142,0.187216388,39.44055944,58,7.77,17.32,1.77,1,0.35,0,1
city40,Mendoza,-68.8410034,-32.89,No,0,1020982,0,50,50,0,0,Low,0,High,1880,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,,,IS,,,,,,,,,,,,,IS,,,,,,,1
city41,Mérida,-89.5708008,21,No,0,1123376,0,100,0,0,0,Not Applicable,IS,Not Applicable,IS,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,very high,9,7488,3.445132788,2.004582903,0.115841536,1344.472489,0.171484153,0.00071625,50.24055134,0.378225166,99.45557113,11.49782921,5.649284706,5.332429399,57,8,3.81,1,2,0.47,0,1
city42,Mexico City,-99.1312027,19.42,No,0,21705580,0,81,19,0,0,Not Applicable,IS,Not Applicable,IS,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low to none,57,2107270,2.152725961,1.667761742,3.26353585,7739.1554,0.17781606,0.002506272,72.57702317,0.344724146,94.96182895,1132.238098,3.476543373,17.67471003,12,14.65,3.91,1.65,4,0.59,3,1
city43,Monterrey,-100.3069992,25.7,Priority,0,4654829,0,50,50,0,0,Medium,0.15,High,665,0,Medium,0.255,Unlikely Scope,IS,Medium Potential,53,Medium Potential,23.8,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,Medium,34,272135,2.288356937,1.704251624,5.8848572,21822.06993,0.193814048,0.01121907,65.5046844,0.288859647,99.68572633,183.3823575,7.501008157,4.693103301,33,11.9,2.02,1.9,3,0.54,2,1
city44,Montevideo,-56.167099,-34.87,No,0,1730656,0,0,100,0,0,Medium,0.08,Medium,183,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,high,21,368203,2.89172918,2.009912738,0.645480781,169.6947608,0.02715478,0.178387981,85.27886586,0.890485726,98.66881379,8.071871391,14.96944986,93.01084681,67,6,4.39,2,1,0.33,0,1
city45,Natal,-35.2533989,-5.89,No,0,1453978,0,33,67,0,0,High,4.87,Medium,29,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low to none,64,99839,2.042343981,1.990744362,1.695440285,3938.595138,0.159453996,0.04836465,87.54584156,0.959692763,97.33578003,14.15999277,0.942857756,267.0456858,21,13,6.84,4,3,0.49,0,1
city46,Panama City,-79.5367966,8.96,No,0,1584657,0,0,100,0,0,Low,0.01,High,859,0,Medium,0.155,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,12.39,Unlikely Scope,IS,0,high,17,956631,2.576110079,1.609796113,2.152207781,123.2320508,0.090631529,0.047124641,80.06481098,0.433560361,73.95254016,39.87521414,11.57376642,19.211583,19,13.66,21.37,1.66,2,0.38,4,1
city47,Porto Alegre,-51.2216988,-30.03,No,0,4113009,0,0,100,0,0,High,9,High,2857,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,high,16,1196336,2.776981018,1.762045667,2.608483144,16526.22675,0.107601123,0.069165923,85.70343406,1.510619953,99.35707633,13.92078962,6.722745901,164.3091299,22,13,8.11,4,1,0.36,4,1
city48,Puebla de Zaragoza,-98.2895966,19.15,No,0,2503377,0,100,0,0,0,Not Applicable,IS,Not Applicable,IS,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low ,50,111253,2.176606905,1.72446959,3.4951346,6862.307533,0.191881449,0.023930585,70.2877731,0.478673011,99.42509109,165.0328104,2.410121353,7.473245057,17,13.89,3.81,1.89,3,0.48,4,1
city49,Querétaro,-100.4229965,20.65,No,0,1306139,0,33,33,33,0,Not Applicable,IS,Not Applicable,IS,0,Low,0.009,Unlikely Scope,IS,Low Potential,445.6,Unlikely Scope,IS,Low Potential,509.76,Unlikely Scope,IS,Unlikely Scope,IS,0,low ,55,269,2.262967487,1.566910211,2.8749635,2867.215613,0.184427007,0.040939307,69.9161072,0.524157329,99.87453591,35.70264169,0.213409959,39.54248366,18,13.83,2.36,1.83,4,0.48,4,1
city50,Quito,-78.4973984,-0.2,Priority,0,1738937,0,3,98,0,0,High,2.19,High,1756,0,High,2.002,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,High Potential,7,0,very high,13,389,3.296944391,1.486134611,8.5917959,4729.943445,0.159646074,0.0166521,75.3475876,0.955370468,100,0,0.196407988,4.520990312,25,12.75,7.23,1.75,4,0.55,0,1
city51,Recife,-34.8897018,-8.06,Priority,0,3939253,0,0,100,0,0,High,9.4,High,978,0,High,2.655,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,44.51,High Potential,6.6,0,Medium,31,1153131,2.350204838,1.987816253,1.850576093,3776.973301,0.129066811,0.019914711,83.94891575,1.288641217,95.4216607,56.45916639,5.370412543,235.9525939,10,14.91,19.97,3.91,1,0.43,4,1
city52,Rio de Janeiro,-43.1941986,-22.91,Priority,0,12380355,0,0,100,0,0,Medium,0.13,High,1358,0,Medium,0.46,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,28,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,Medium,28,4129906,2.298070905,1.674556581,4.557748172,686.44928,0.106515944,0.080378352,90.71656193,0.208597962,79.04500485,117.5532777,14.81302202,62.46635813,34,11.87,6.47,3.87,2,0.39,1,1
city53,Rosario,-60.6837006,-32.99,No,0,1365084,0,14,86,0,0,Low,0.01,High,261,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low to none,59,807022,1.86172215,2.487568831,1.7845036,3827764.299,0.147340357,0.30561697,82.9598694,0.862704227,99.92107599,11806.63526,6.892705152,35.01453739,64,6.78,3.38,2.78,2,0.37,0,1
city54,Salvador,-38.5112991,-12.98,Priority,0,4506290,0,0,100,0,0,High,0.23,Medium,75,0,High,3.133,High Potential,7.8,Unlikely Scope,IS,Low Potential,794.4,High Potential,2.76,Unlikely Scope,IS,Unlikely Scope,IS,0,high,15,1443046,2.617755953,1.89697282,0.900472412,145.8980518,0.025743685,0.395397317,92.71759872,0.155997035,92.63397129,3.801773092,15.36010591,41.33831797,23,13,17.8,4,3,0.45,0,1
city55,San José,-84.0768967,9.93,Priority,0,1704468,0,25,75,0,0,High,1.18,High,14185,0,Medium,0.487,Medium Potential,73.4,Medium Potential,22.7,High Potential,7.8,Unlikely Scope,IS,Medium Potential,24.38,Medium Potential,11.7,0,very high,7,14080,3.355267901,1.581599813,8.064395378,1064.362926,0.157554449,0.101225665,69.02029297,1.280092601,99.84276136,19.26373373,20.65771402,17.74810118,56,8.06,28.84,2.06,0,0.37,1,1
city56,San Juan,-66.0585022,18.41,No,0,2475123,0,0,100,0,0,High,0.77,High,2772,0,Low,0.086,Low Potential,191.7,Medium Potential,62.8,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,29.83,Unlikely Scope,IS,0,very high,1,2443023,2.973965974,1.764234809,3.313623726,271.3743178,0.127380266,0.042066435,79.33601029,1.021822,95.77803134,16.90034823,28.6803897,249.7876391,43,10.56,14.53,2.56,1,0.37,2,1
city57,San Luis Potosí,-100.8710022,22.14,No,0,1143767,0,98,2,0,0,Not Applicable,IS,Not Applicable,IS,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,Medium,41,16,2.303831754,1.378881422,3.2640402,1356.3275,0.195887469,0,73.2796402,0.325614727,98.0109047,106.7763644,0.190955075,16.21621622,38,11,1.06,2,0,0.69,4,1
city58,San Salvador,-89.2166977,13.75,No,0,1739642,0,50,50,0,0,High,0.31,High,402,0,Low,0.046,Low Potential,1183.7,Low Potential,151.9,Low Potential,402.8,Low Potential,232.55,Low Potential,156.9,Medium Potential,53.4,0,high,24,116082,2.473521704,2.135127532,5.722860979,7132.752709,0.167728305,0.003265661,57.788004,1.626257104,98.77281013,166.2510914,4.969047086,39.97643792,61,7.04,8.99,1.04,0,0.25,2,1
city59,Santa Cruz,-63.1570015,-17.79,No,0,1965373,0,100,0,0,0,Not Applicable,IS,Not Applicable,IS,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low ,53,15657,2.275857176,1.797685873,6.3746696,4454.702689,0.141798229,0.02583068,73.9030685,1.633097413,98.29842475,24.2227597,0.387904042,446.3541667,62,7,3.42,3,1,0.46,0,1
city60,Santiago,-70.653801,-33.45,Priority,0,6354952,0,15,85,0,0,High,4.05,High,25382,0,Medium,0.268,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,38.9,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,Medium,37,88079,2.346796192,1.55651417,13.9713345,24375.73088,0.125389521,0.00763847,72.8616333,1.335417772,98.08023149,1463.878873,1.667883667,111.55549,35,11.84,1.33,1.84,4,0.53,2,1
city61,Santo Domingo,-69.911499,18.48,No,0,2358764,0,32,68,0,0,High,0.9,High,2731,0,Low,0.08,Low Potential,149.2,Medium Potential,53.2,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,32.01,Unlikely Scope,IS,0,high,14,1629788,2.54981713,1.650779965,2.660218482,2333.790653,0.171108708,0.099501894,79.85497165,1.259394457,98.92098226,87.71698524,6.58656759,335.5176651,36,11.2,5.35,2.2,2,0.36,4,1
city62,Santos,-46.3348999,-23.95,Priority,0,1768318,0,0,100,0,0,Low,0,High,3806,0,High,5.984,Unlikely Scope,IS,Unlikely Scope,IS,High Potential,1.2,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low to none,67,5771,1.997322904,1.689462156,3.7182777,1903.950788,0.13938706,0,86.115036,0.795923142,99.12834928,83.00496922,0.040967463,0,16,14,8.01,3,2,0.55,2,1
city63,São Luís,-44.2317009,-2.58,No,0,1436909,0,22,78,0,0,Medium,0.09,Medium,34,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low ,46,280603,2.225349113,1.621707491,0.610554906,68.24816556,0.046669331,0.046376238,91.0692625,0.140118226,90.24978837,11.53445575,13.54627291,24.69472523,7,15,14.51,4,3,0.65,0,1
city64,São Paulo,-46.6436996,-23.58,Priority,0,21028372,0,0,100,0,0,Medium,0.14,High,1535,0,High,3.016,Unlikely Scope,IS,Medium Potential,33.6,High Potential,4.3,Unlikely Scope,IS,Unlikely Scope,IS,Medium Potential,14.8,0,low to none,56,6738124,1.743520856,2.120594035,3.854874931,11112.58267,0.135216018,0,85.46033927,0.364487959,84.54587091,7277.787666,0.008391481,0,3,18,10.44,3,4,0.46,4,1
city65,Tegucigalpa,-87.2011032,14.1,No,0,1256531,0,1,99,0,0,High,2.71,High,1773,0,Medium,0.122,Unlikely Scope,IS,Medium Potential,23,Medium Potential,15.5,Unlikely Scope,IS,Medium Potential,15.21,Unlikely Scope,IS,0,very high,11,1454,4.203426758,1.25996123,6.6692929,911.0178817,0.152490946,0.050399638,54.8812027,2.854843595,100,0,1.324891487,53.68682684,49,9,6.11,1,1,0.56,0,1
city66,Teresina,-42.8154984,-5.09,No,0,968065,0,0,100,0,0,Low,0,Low,16,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,,,IS,,,,,,,,,,,,,IS,,,,,,,1
city67,Tijuana,-117.0279999,32.41,Priority,0,2061496,0,5,95,0,0,Low,0.000983652,Low,22.51988501,0,Low,0.000173609,Unlikely Scope,IS,Low Potential,52707.22184,Low Potential,9712.25471,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,high,18,647869,2.5471339,1.672888009,4.332899931,2995.299976,0.190048407,0.015872503,61.21156171,0.616084417,99.67260407,36.83561582,5.624973169,17.56103932,50,9,1.14,1,1,0.59,2,1
city68,Toluca,-99.597702,19.3,Priority,0,1928525,0,13,88,0,0,High,0.95,High,731,0,Medium,0.179,Low Potential,325.9,Medium Potential,20.9,Medium Potential,19.9,Medium Potential,33.53,Unlikely Scope,IS,Unlikely Scope,IS,0,high,26,76384,2.633783125,1.300182283,3.8143651,2244.485756,0.206133692,0.013201212,63.5378609,0.572013749,98.6289266,248.2136238,5.361128832,23.80121333,26,12.56,4,1.56,2,0.53,4,1
city69,Torreón,-103.3939972,25.63,No,0,1344439,0,100,0,0,0,Not Applicable,IS,Not Applicable,IS,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low ,49,161595,2.280034764,2.467961281,4.438476405,34213.8185,0.186058925,0.004337068,64.30970875,0.735355577,99.97747679,16.62182724,1.37540159,75.11684763,68,5.67,0.54,1.67,0,0.53,0,1
city70,Valencia,-67.995697,10.16,No,0,2040623,0,13,87,0,0,High,2.56,High,896,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,low to none,62,250919,2.076381558,1.862272848,5.398403392,2056.40107,0.180307345,0.020492518,81.50678851,0.366118543,94.74194033,637.2365388,14.02816874,55.57476532,53,8.54,4.69,2.54,1,0.39,1,1
city71,Valparaíso,-71.6200027,-33.05,No,0,930616,0,98,2,0,0,Not Applicable,IS,Not Applicable,IS,0,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,Unlikely Scope,IS,0,high,19,404947,2.921756047,1.729582574,6.381751358,2683.916661,0.166233647,0.00225726,88.69178066,0.296472289,97.64738561,43.1599079,24.54659894,18.13270795,59,7.54,1.14,3.54,1,0.33,1,1
